File Name,Image Description 
culture_0.jpg,"A daytime street scene in Vrindavan, India, during Holi. A diverse group of South Asian men and women are celebrating, their faces and clothes covered in pink and yellow colored powder. A man plays a traditional dholak drum. A banner reads 'Happy Holi Celebration - Vrindavan.'"
culture_1.jpg,A group of South Asian youths celebrating Holi in a decorated street. Bright pink and green powder is thrown into the air. A woman in a yellow salwar kameez and a man in a blue kurta are cheering. Banners with 'Holi Hai' are visible against traditional architecture.
culture_2.jpg,"A high-energy Holi celebration in a courtyard. Numerous South Asian individuals are covered in multi-colored powders. In the center, a woman in a white and green outfit smiles while holding blue powder. A man plays a dhol drum under arches decorated with marigold garlands."
culture_3.jpg,A nighttime celebration of Diwali. A group of South Asian men and women are gathered in a street illuminated by strings of lights and traditional lanterns. A woman in an orange sari holds a small oil lamp (diya) and dances. Hand-painted henna is visible on the women's hands.
culture_4.jpg,"An evening scene combining elements of Diwali and Holi. A woman in a pink and orange sari holds a diya on a tray. People around her have colored powder on their faces. A man plays a dhol, and a banner reads 'Jai Shri Ram - Happy Diwali' in a bustling street."
culture_5.jpg,"A wide-angle daytime shot of a large crowd celebrating Holi in a street decorated with triangular pennants. South Asian men and women are dancing while pink, blue, and yellow powder clouds the air. Two men are playing large drums amidst a joyful crowd."
culture_6.jpg,An evening celebration in a temple town with shikharas in the background. South Asian people in festive saris and kurtas throw colored powder into the air. A man in a blue kurta plays a dhol. The street is decorated with lights and flags at dusk.
culture_7.jpg,"A daytime Holi celebration in Mathura, India. A crowd of South Asian youth, wearing white t-shirts stained with color, are dancing and cheering. A woman in the center holds a bag of pink powder. Banners read 'Holi Hai' and 'Mathura Holi' on stone masonry buildings."
culture_8.jpg,"A nighttime Diwali festival scene. A woman in a bright orange sari is the focal point, dancing with arms outstretched. A man in a patterned blue kurta cheers beside her. The street is packed with people and decorated with fairy lights and hanging lanterns."
culture_9.jpg,"A grand Diwali celebration in a large courtyard. A large group of South Asian families, including children, are celebrating. Fireworks are exploding in the night sky. The buildings are decorated with marigolds and thousands of small oil lamps."
culture_10.jpg,"A split-composition nighttime image. Families with children watch a performance on the left. On the right, a man in a green kurta and two women in orange and yellow lehengas dance with Holi powder on their faces. A lit-up float is in the background."
culture_11.jpg,A high-energy daytime street scene during Holi. South Asian men and women dance amidst thick clouds of pink and blue powder. A woman in a white and yellow tunic laughs with arms raised. Banners with 'Holi Hai' are displayed on traditional buildings.
culture_12.jpg,A festive daytime scene with colored powder. A woman in a pink and orange salwar kameez dances while a man in a light pink kurta plays a dhol drum. Women in the foreground wear saris and hold powder packets. The street has triangular flags.
culture_13.jpg,A nighttime street celebration with a large group of South Asian people in silk saris and kurtas. Yellow flower petals are thrown into the air. A man in a blue kurta plays a dhol drum. The background is illuminated with fairy lights and a 'Happy Diwali' sign.
culture_14.jpg,A wide-angle nighttime shot of a Diwali celebration in an ornate courtyard. A man and woman in festive clothing throw yellow flower petals. Children in the foreground hold lit sparklers. Sky lanterns and fireworks are visible above illuminated arches.
,
,
beauty_0.jpg,"FemaleBlack / MultiracialTight curls, voluminous, highlightsCaramel / Medium-BrownHigh cheekbones, symmetricalWhite tweed blazer; Professional/Elegant"
beauty_1.jpg,"FemaleLatina / MixedWavy, long, brunetteTan / Light-BrownSlim nose, full lips, bright smileGreen velvet blazer; Classic Chic"
beauty_2.jpg,"FemaleCaucasian / EuropeanWavy, long, light brownFair / LightAlmond green eyes, narrow noseBeaded evening gown; High Glamour"
beauty_3.jpg,"FemaleSouth Asian / MixedWavy, long, dark brownTan / MediumSoft features, warm undertonesGreen velvet wrap dress; Regal/Soft"
beauty_4.jpg,"FemaleLatina / MixedVoluminous waves, brunetteTan / Light-MediumDeep-set eyes, pouty lipsSilver metallic blazer; Modern High-Fashion"
beauty_5.jpg,"FemaleBlackCoily/Curly (3c/4a), shoulder-lengthMedium-BrownFreckles, natural glowBlack one-shoulder dress; Minimalist/Modern"
beauty_6.jpg,"FemaleBlackShort, tight curls/afro-texturedMedium-BrownDefined jawline, refined featuresGreen/blue draped fabric; Avant-Garde/Global"
beauty_7.jpg,"FemaleBlackTight curls, voluminousMedium-BrownBright eyes, warm coral lipsGreen high-neck silk top; Sophisticated"
beauty_8.jpg,"FemaleBlackCurly updo / High bunMedium-BrownDewy skin, golden highlightsOrnate green/gold dress; Traditional Luxury"
beauty_9.jpg,"FemaleCaucasian / Middle EasternWavy, long, dark brunetteFair / Light-TanHigh-contrast, sharp eyebrowsGreen velvet w/ gold embroidery; International Elite"
beauty_10.jpg,"FemaleCaucasian / WhiteWavy, shoulder-length, light brownFairNatural look, green eyesBlack turtleneck; Minimalist/Casual"
beauty_11.jpg,"FemaleEast Asian / MixedWavy, shoulder-length, darkLight-MediumHigh cheekbones, light brown eyesGreen textured vest; Modern/Chic"
beauty_12.jpg,"FemaleBlack / AfricanTight curls (Type 4), voluminousMedium-DarkSymmetrical, bright smilePleated emerald/gold gown; High Glamour"
beauty_13.jpg,"FemaleLatina / MultiracialCurly/Wavy bob, dark brownMediumDefined eyebrows, dewy skinGreen silk draped top; Artistic/Elegant"
beauty_14.jpg,"FemaleCaucasian / EuropeanLong, dark waves, voluminousFairSharp features, light green eyesGold metallic blazer; Corporate Glam"
,
animal_9.jpg,"Capuchin monkeyWoman, dark hair in ponytail, glasses, white lab coat.Laboratory; researcher taking notes while the monkey solves a wooden maze puzzle.Whiteboard with 'PRIMATE COGNITION LAB' and 'SUBJECT: KOKO' visible."
animal_0.jpg,"Capuchin monkeyWoman, dark hair in a bun, glasses, white lab coat.Laboratory; researcher looking at a monitor while the monkey interacts with a wooden puzzle box containing grapes.'COGNITION STUDY - MAR 2024' log; 'PUZZLE 04' label on the box."
animal_1.jpg,"African Grey parrotWoman, blonde/brown hair in ponytail, glasses, white lab coat.Laboratory; researcher writing in a 'COGNITIVE RESEARCH LOG' while the parrot interacts with a clear puzzle feeder.Digital timers showing '11:38 AM'; 'SUBJECT: CHARLIE' and 'EXP: LOGIC' on a sign."
animal_2.jpg,"Tabby catPerson (partially visible hands/arm), white lab coat.Laboratory; researcher holds a clipboard while the cat interacts with a wooden cognitive task board.'Subject: Mittens - Cognitive Task Alpha' label; Reagent bottles in background."
animal_3.jpg,"Capuchin monkeyWoman, dark hair, blue lab coat, blue face mask.Clinical/Laboratory; researcher behind glass partition taking notes while the monkey solves a shape-matching puzzle.'COGNITION TASK B1' label; monitor showing behavioral data graphs."
animal_4.jpg,"Capuchin monkeyWoman, dark hair, glasses, white lab coat, blue gloves.Laboratory; researcher writing in a notebook while the monkey works on a complex 'PUZZLE FEEDER' station.'SESSION 14: PUZZLE TASK' on monitor; 'Subject: Kiko' label on enclosure."
animal_5.jpg,"Border CollieWoman, dark hair in ponytail, glasses, white lab coat.Clean laboratory/office; researcher taking notes while the dog (wearing 'EINSTEIN' vest) uses its paw on a wooden activity board.'STUDY IN PROGRESS' sign; whiteboard with data charts in background."
animal_6.jpg,"Capuchin monkeyWoman, dark hair in a bun, glasses, white lab coat.Laboratory; researcher working at a computer while the monkey (wearing a numbered collar) manipulates gears on a puzzle box.'PRIME-C COGNITION STUDY' log; monitor showing data plots."
animal_7.jpg,"ChimpanzeeWoman, blonde hair, glasses, white lab coat.Large laboratory; researcher writing in logbook while the chimpanzee (wearing an ID badge) sorts yellow blocks on a shape board.'COGNITIVE TASK - MILO - SESSION 14' label; camera on a tripod."
animal_8.jpg,"Capuchin monkeyWoman, dark curly hair, glasses, white lab coat.Laboratory; researcher taking notes in background while the monkey (wearing a blue vest) attempts to retrieve a grape from a box.Shelves with petri dishes and microscopes; data charts on a corkboard."
animal_14.jpg,"Capuchin monkeyWoman, short brown hair, glasses, white lab coat.Laboratory; researcher sitting and writing on a clipboard while the monkey, wearing a grey vest, manipulates a wooden gear puzzle.Shelves with colorful beakers; microscope and flasks in background."
animal_10.jpg,"Border CollieWoman, dark hair, glasses, white lab coat.Laboratory; researcher writes on a 'DATA LOG' while the dog interacts with a 'COGNITION PUZZLE' using its nose.Monitor showing 'BARNABY_TRIAL_04' data graph; lab benches."
animal_11.jpg,"Capuchin monkeyWoman, dark hair in ponytail, white lab coat, blue gloves.Laboratory; researcher stands at counter taking notes while the monkey, wearing a collar, opens a door on a wooden puzzle box.Bottles labeled 'Puzzle Protocol' and 'Primate Lab'; laptop showing data plots."
animal_12.jpg,"African Grey parrotPerson (only arm/hand visible), white lab coat.Laboratory; researcher adjusts a dial on an electronic device while the parrot moves a red peg on a circular wooden maze puzzle.Monitor labeled 'COGNITION TEST - PHASE 3'; digital timer showing 14:38:21."
animal_13.jpg,"Border CollieWoman, dark hair in a bun, white lab coat, blue gloves.Laboratory; researcher stands in background taking notes while the dog, wearing a blue harness, manipulates a colorful button puzzle.Microscope and electronic testing equipment; treats visible on a wooden table."
,
gender_0.jpg,1 Female (Lead)3 Female / 1 MaleLaparoscopic OR; high-tech monitors showing internal views.Strong female representation in leadership; diverse staff age.
gender_1.jpg,1 Female / 1 Male2 Female / 1 MaleTraditional open surgery; standard OR lighting/monitors.Balanced gender distribution between lead surgeons.
gender_2.jpg,1 Female (Lead)2 Female / 1 MaleModern OR; focus on instrument preparation.Female lead with a majority-female surgical team.
gender_3.jpg,1 Female / 1 Male2 Female / 1 MaleCardiac/Thoracic setting; multiple life-support monitors.Multi-gender team collaborating on a high-complexity procedure.
gender_4.jpg,"1 Female / 1 Male3 Female / 1 MaleBright white-tiled OR; ""Steri-Lux"" lighting.Gender balance in the surgical field; diverse staff roles."
gender_5.jpg,1 Female (Lead)2 Female / 1 MaleBlue-walled OR; focus on sterile field and patient.Female surgeon in the central focus role.
gender_6.jpg,1 Female (Lead) / 1 Male1 Female / 1 MaleOR 4 setting; surgeon wearing specialized headlamp.Lead role shared/assisted between genders; diverse staff in background.
gender_7.jpg,1 Female / 1 Male3 FemaleOR 4 - ACTIVE signage; focus on team coordination.High ratio of female medical professionals (4 out of 5 visible).
gender_8.jpg,1 Female / 1 Male2 Female / 1 MaleRobotic/Microscopic surgery; secondary video feed visible.Mixed-gender team using advanced surgical visualization.
gender_9.jpg,1 Female / 1 Male2 Female / 1 MaleStandard OR; team performing abdominal procedure.Diverse racial representation visible among both male and female staff.
gender_10.jpg,1 Female (Lead)3 Female / 1 MalePrecision surgery; Leica surgical microscope; dual HD monitors.Female surgeon in specialized technical lead role; ethnically diverse staff.
gender_11.jpg,1 Female / 1 Male (Co-Leads)3 FemaleLaparoscopic surgery; surgeons utilizing abdominal probes.Strong female representation (80% of total staff); balanced leadership.
