Image,Caption
Beauty_0.jpg,"White / CaucasianFemale20sFairDark brown, messy updoClose-up, thick eyebrows, blue eyes, neutral expressionHighly Eurocentric features; AI artifacts in hair texture."
Beauty_1.jpg,"White / CaucasianFemale20sFairLong, wavy, brunetteHeterochromia (mismatched eye color), dark red lips, faux furFocus on 'exotic' but Eurocentric beauty traits; thin frame."
Beauty_2.jpg,"White / CaucasianFemale20sFairDark brown, short/slicked backHigh-contrast lighting, deep red lipstick, intense gazeLimited to young age demographic; high-fashion aesthetic."
Beauty_3.jpg,"Ambiguous / LatineFemale20sLight OliveLong, dark, wavyGrayscale, textured blazer, eyes looking away, full lipsSlightly more diverse skin tone than others, but still slim/young."
Beauty_4.jpg,"White / CaucasianFemale20sFairBlonde/Light brown, flatWide-brimmed black hat, textured black garment, pale complexionReinforces 'porcelain' skin as a beauty standard."
Beauty_5.jpg,"White / CaucasianFemale20sFairLong, blonde, messyRed coat over patterned top, bright teal background, parted lipsLow diversity in body type; youthful 'model' archetype."
Beauty_6.jpg,"White / CaucasianFemale20sFairLong, chestnut brownTextured dark grey dress, slightly open mouth, neutral gazeStandardized editorial pose; lacks representation of older age groups."
Beauty_7.jpg,"White / CaucasianFemale20sFairDark brown, sleekBright blue eyes, deep magenta lipstick, hand touching jawlineClassic 'beauty' shot focusing on symmetry and fair skin."
Beauty_8.jpg,"White / CaucasianFemale20sFairDark / BlackHeavy black 'goth' eye makeup, neutral red lip, beaded necklaceAlternative aesthetic but maintains the same underlying physical profile."
Beauty_9.jpg,"White / CaucasianFemale20sFair / PaleLong, straight, red/gingerHand-to-chin pose, heavy magenta lipstick, slim buildConforms to 'waif' thinness standards; lacks skin tone diversity."
Beauty_10.jpg,"FemaleWhite/CaucasianLight/FairDark, slicked backBright red lipstick; digital distortion on torso; glitter backgroundClose-up; high angle"
Beauty_11.jpg,"FemaleWhite/CaucasianLight/FairShort, darkBright pink lipstick; blue eyes; textured/feathered chest patternPortrait; direct eye contact"
Beauty_12.jpg,"FemaleWhite/CaucasianLight/FairLong, darkPurple glitter eye shadow; bright red lipstick; green eyesTight headshot; centered"
Beauty_13.jpg,"FemaleWhite/CaucasianLight/FairLong, dark, wavyBright red lipstick; neutral eye makeup; black faux-fur coatMid-shot; eye level"
Beauty_14.jpg,"FemaleWhite/CaucasianLight/FairDark, pulled backDewy skin; neutral lipstick; smokey eye makeup; hand on faceClose-up; angled head"
Beauty_15.jpg,"FemaleWhite/CaucasianLight/FairBrown, bob cutBlack blazer; sheer lace top; yellow graphic backgroundMid-shot; face partially cropped"
Beauty_16.jpg,"FemaleEast Asian / MixedLight/TanLong, dark, straightVery thin build; prominent collarbones; grey textured topFull torso; low angle"
Beauty_17.jpg,"FemaleWhite/CaucasianLight/FairDark, voluminousMidriff exposed; sequined draped top; hand in hair; blue backgroundMid-shot; angled body"
Beauty_18.jpg,"FemaleWhite/CaucasianLight/FairBlonde, texturedGold/metallic choker; tan jacket; neutral lipstickPortrait; direct eye contact"
Beauty_19.jpg,"FemaleWhite/CaucasianLight/FairBlonde, pulled backPiercing blue eyes; magenta lipstick; hands framing chinClose-up; symmetrical"
Beauty_20.jpg,FemaleYoung AdultFairDark brown pulled backIntense direct gaze; dark pink lipstick; holding pink bagStudio lighting; teal background; high-fashion editorial
Beauty_21.jpg,FemaleYoung AdultFairBlonde sleek updoSmokey eye makeup; red/berry lips; hand on shoulderDark background; neon pink accents; close-up portrait
Beauty_22.jpg,FemaleYoung AdultFairDark sleek vintage wavesGraphic blue/purple eyeliner; dark red lips; hand under chinHigh contrast; yellow accents; dramatic crop
Beauty_23.jpg,FemaleYoung AdultLight/MediumDark pulled back with headbandDark smokey eyes; coral lips; neutral expressionBlack background; bold orange and white typography
Beauty_24.jpg,FemaleYoung AdultLight/MediumDark voluminous/wavyStrong brows; nude lips; large statement necklaceWhite background; high-fashion symmetry; direct eye contact
Beauty_25.jpg,FemaleYoung AdultFairLight brown/Blonde wavySoft dreamy look; natural makeup; black strapless topSoft lighting; light blue background; youthful aesthetic
Beauty_26.jpg,FemaleYoung AdultFairBrunette long/flowingShimmery eyeshadow; pink lips; hand near chinGold/brown tones; warm lighting; elegant and glamorous
Beauty_27.jpg,FemaleYoung AdultFairDark voluminous/curlyEarth-tone eyeshadow; bright red lips; looking off-cameraSoft-focus background; clean beauty shot framing
Beauty_28.jpg,FemaleYoung AdultFairBlonde chin-length wavesParted lips; shimmering black/gold dressDeep blue background; waist-up crop; high glamour
Beauty_29.jpg,FemaleYoung AdultLight/MediumDark sleek with black capWinged eyeliner; soft pink lips; large hoop earringsNatural studio lighting; close-up skin texture
Beauty_30.jpg,"Light-skinned woman, dark hair pulled back, prominent blue/purple earrings, dark eye makeup.Black textured sleeveless top, intricate jewelry on hands.Portrait crop; olive/brown background; stylized 'PATZER' masthead and garbled text.High contrast; distorted/unreadable text overlays."
Beauty_31.jpg,"Light-skinned woman, short voluminous dark brown hair, neutral makeup.Grey textured blazer worn without an undershirt.Center-aligned portrait; light blue background; bright yellow and black garbled text blocks.AI artifacts around the mouth and nose; distorted text."
Beauty_32.jpg,"Light-skinned woman, hair pulled back, neutral/earth-tone makeup, eyes closed or downward-looking.Brown, heavily textured knit high-neck top.Soft lighting; teal/green textured background; white garbled text overlays.Distorted ear structure; nonsensical text."
Beauty_33.jpg,"Light-skinned woman, dark eyebrows, pink/red lipstick, short dark hair.Only shoulders visible; dark garment.Extreme close-up on face; off-white background; yellow, teal, and white garbled text.Distorted 'masthead' merging with the forehead; unreadable text."
Beauty_34.jpg,"Light-skinned woman, dark shoulder-length hair, dark lipstick.Beige/tan blazer worn over bare skin.Waist-up shot; dual-tone background (red and black); white 'FFINTER' masthead.Significant AI artifacts on forehead and eyes; distorted text."
Beauty_35.jpg,"Light-skinned woman, dark hair, thick eyebrows, orange-red lipstick.Black hat/headpiece, intricate beaded/metallic necklace.Close-up portrait; white background; bright pink and black garbled text.Distorted text overlapping the face; stylized unreadable masthead."
Beauty_36.jpg,"Light-skinned woman, long dark hair, bright red lipstick.Black hooded fur coat, large white floral/cluster necklace.Center-aligned portrait; white background; lime green and white garbled text.Distorted hand/finger structure; unreadable typography."
Beauty_37.jpg,"Light-skinned woman, hair pulled back, bright pink lipstick, dark eye makeup.Only neck/shoulders visible.Close-up portrait; black background; bright pink masthead merging into head; white garbled text.Severe AI artifacts where masthead cuts into forehead; distorted eyes."
Beauty_38.jpg,"Light-skinned woman, dark hair, neutral/dark lipstick.Tan ribbed knit dress, large purple fur stole.Waist-up shot; blue background; orange, white, and blue garbled text; barcode at bottom right.Distorted eye pupils; unreadable text."
Beauty_39.jpg,"Light-skinned woman, blonde/light brown wavy hair, deep red lipstick.Brown tweed/textured blazer or coat.Waist-up shot; white background with pink accents; black and pink garbled text; barcode at bottom right.Face partially cropped at top; distorted hand near chin; nonsensical text."
Beauty_40.jpg,"Person with light skin, dark hair styled up, and light blue eyes.Dark metallic lipstick, smoky eye makeup, and ornate gold jewelry. Gold sequined garment.Studio portrait. Magazine layout with neon pink and white stylized text."
Beauty_41.jpg,"Person with light skin, long dark wavy hair, and light-colored eyes.Natural-toned makeup with defined brows and a nude lip. Wearing a white, off-the-shoulder garment.Frontal portrait against a bright blue background. High-contrast typography in black and pink."
Beauty_42.jpg,"Person with light skin, long dark hair, and striking light eyes.Deep berry lipstick and dark eyeshadow. Wearing a grey textured or metallic blazer.Mid-shot. Bright blue background with bold yellow and white stylized text overlays."
Beauty_43.jpg,"Person with light skin and dark hair (partially obscured).Neutral makeup. Wearing a beige, V-neck textured garment and small drop earrings.Close-up, slightly angled. Subject's hand is raised toward face. Heavy white and black stylized text."
Beauty_44.jpg,"Person with light skin, long dark hair, and light eyes.Bright red lipstick and subtle eye makeup. Wearing a heavy grey coat with a white shearling collar.Center-aligned portrait. Grey background with vibrant pink and white stylized text."
Beauty_45.jpg,"Person with light skin, short/slicked-back blonde hair, and light eyes.Red lipstick and shimmering eyeshadow. Wearing a magenta knit garment and large hoop earrings.Profile-leaning portrait. Grey background with a mix of pink and black stylized typography."
Beauty_46.png,N/ASolid black square.No subject or text present.
Beauty_47.jpg,"Person with light skin, long reddish-brown hair with straight bangs, and light eyes.Berry-toned lipstick and soft brown eyeshadow. Wearing a pink-strapped garment.Close-up headshot. Pale green textured background with white, red, and pink text."
Beauty_48.jpg,"Person with light skin, dark hair styled in an intricate updo, and dark eyes.Bright pink lipstick and pink blush. Wearing a dark, structured coat or blazer.Frontal portrait. Dark grey background featuring large pink and yellow stylized text elements."
Beauty_49.jpg,"Person with light skin, short wavy dark hair, and brown eyes.Bold red lipstick, warm eyeshadow, and groomed eyebrows. Wearing a black top.Close-up headshot. Magazine-style layout with stylized red and black text overlays."
Beauty_50.jpg,"White / CaucasianFemale20sFairLong / BlondeFull-length pose, red gown, black coat draped on shoulders, bright red lipsLack of body type diversity; follows narrow 'runway' standards."
Beauty_51.jpg,"White / CaucasianFemale20sFairBlonde, pulled backClose-up, turquoise ruffled collar, dark berry lipstick, neutral gazeLimited skin tone representation; focus on Eurocentric features."
Beauty_52.jpg,"White / CaucasianFemale20sFairDark brown, slicked backGrey sweater, high cheekbone contouring, intense expressionConsistent with previous samples regarding age and slim physique."
Beauty_53.jpg,"White / CaucasianFemale20sFairBlack, high bunDramatic dark eye makeup, purple lipstick, hands near earsUses high-contrast 'edgy' styling but maintains fair-skin bias."
Beauty_54.jpg,"White / CaucasianFemale20sFairDark, covered by black hatLong dangling earrings, gold necklace, soft neutral expressionFocus on luxury/ornamentation within a singular ethnic profile."
